id,leetcode_hours,leetcode_problems,team_size,experience,branch,gaming_hours,instagram_hours,social_skill_points,connections_among_seniors,connections_with_faculty,connections_among_juniors,have_freshman,all_freshman,gender_ratio,event_type,winner
001,1.0,27.0,3.0,intermediate,CSE,0.0,7.0,,20.0,1.0,23.0,0.0,0.0,1.0,hackathon,0
002,5.0,38.0,5.0,intermediate,EE,5.0,8.0,92.0,15.0,2.0,11.0,1.0,0.0,1.0,other,0
003,1.0,39.0,3.0,beginner,ME,7.0,5.0,90.0,1.0,3.0,27.0,1.0,1.0,0.0,hackathon,0
004,1.0,49.0,3.0,intermediate,ECE,6.0,5.0,55.0,9.0,3.0,21.0,1.0,0.0,0.0,hackathon,0
005,0.0,46.0,2.0,beginner,ECE,6.0,8.0,84.0,20.0,7.0,25.0,1.0,0.0,0.0,hackathon,0
006,10.0,19.0,5.0,beginner,CSE,0.0,7.0,63.0,7.0,7.0,30.0,0.0,0.0,0.0,hackathon,0
007,5.0,70.0,1.0,beginner,ECE,7.0,0.0,79.0,7.0,1.0,0.0,0.0,0.0,1.0,contest,0
008,0.0,27.0,3.0,beginner,ECE,8.0,8.0,13.0,4.0,9.0,22.0,1.0,0.0,0.33,other,0
009,2.0,81.0,2.0,intermediate,EE,0.0,6.0,25.0,3.0,4.0,22.0,0.0,0.0,0.5,debate,0
010,0.0,95.0,5.0,beginner,ME,8.0,7.0,42.0,20.0,5.0,27.0,0.0,0.0,0.4,hackathon,0
011,3.0,60.0,3.0,beginner,ECM,0.0,0.0,40.0,0.0,8.0,26.0,1.0,0.0,1.0,gaming,1
012,2.0,44.0,3.0,beginner,MM,0.0,,26.0,14.0,10.0,21.0,0.0,0.0,1.0,gaming,0
013,1.0,20.0,,expert,ECE,6.0,8.0,82.0,16.0,10.0,16.0,1.0,1.0,0.0,hackathon,0
014,0.0,56.0,1.0,beginner,ECE,5.0,7.0,27.0,3.0,6.0,10.0,1.0,1.0,0.0,debate,0
015,2.0,36.0,,expert,CE,8.0,6.0,28.0,5.0,2.0,19.0,0.0,0.0,1.0,dance,0
016,1.0,36.0,3.0,intermediate,ME,8.0,8.0,73.0,9.0,2.0,6.0,0.0,0.0,1.0,contest,0
017,1.0,54.0,4.0,beginner,ME,0.0,5.0,66.0,2.0,2.0,15.0,1.0,1.0,0.0,debate,0
018,5.0,44.0,1.0,intermediate,CSE,8.0,,53.0,2.0,8.0,28.0,1.0,1.0,1.0,contest,0
019,,,3.0,intermediate,CSE,8.0,0.0,22.0,2.0,0.0,0.0,0.0,0.0,0.33,gaming,0
020,1.0,111.0,5.0,beginner,ECM,0.0,7.0,40.0,14.0,0.0,4.0,1.0,0.0,0.6,singing,1
021,1.0,18.0,1.0,intermediate,ECM,8.0,0.0,34.0,0.0,3.0,30.0,0.0,0.0,1.0,sporting,0
022,0.0,38.0,3.0,intermediate,ME,0.0,8.0,58.0,,7.0,17.0,1.0,0.0,0.33,hackathon,0
023,3.0,27.0,1.0,intermediate,MM,8.0,5.0,71.0,2.0,1.0,24.0,0.0,,0.0,hackathon,1
024,0.0,53.0,4.0,intermediate,ECE,5.0,8.0,55.0,14.0,1.0,1.0,1.0,0.0,0.25,hackathon,0
025,1.0,36.0,2.0,beginner,CSE,7.0,0.0,31.0,10.0,4.0,0.0,0.0,0.0,0.0,contest,0
026,10.0,65.0,4.0,intermediate,ECE,6.0,5.0,71.0,15.0,1.0,27.0,1.0,0.0,0.5,debate,0
027,4.0,10.0,2.0,intermediate,ECE,5.0,0.0,84.0,14.0,1.0,29.0,0.0,0.0,0.5,hackathon,0
028,1.0,61.0,5.0,intermediate,ECM,6.0,5.0,25.0,13.0,4.0,14.0,1.0,1.0,0.4,sporting,0
029,0.0,87.0,5.0,beginner,ECM,7.0,0.0,87.0,4.0,3.0,1.0,0.0,0.0,0.6,hackathon,1
030,1.0,65.0,5.0,expert,ME,0.0,0.0,44.0,11.0,1.0,2.0,1.0,0.0,0.0,gaming,0
031,1.0,92.0,5.0,beginner,ECM,0.0,8.0,,12.0,1.0,28.0,1.0,1.0,0.4,other,1
032,0.0,37.0,5.0,beginner,ECE,6.0,6.0,44.0,3.0,8.0,20.0,0.0,0.0,1.0,dance,0
033,1.0,59.0,3.0,expert,CSE,5.0,7.0,32.0,90.0,0.0,22.0,1.0,1.0,0.0,other,0
034,0.0,66.0,1.0,beginner,PIE,0.0,6.0,4.0,3.0,8.0,18.0,1.0,1.0,1.0,hackathon,0
