id,leetcode_hours,leetcode_problems,team_size,experience,branch,gaming_hours,instagram_hours,social_skill_points,connections_among_seniors,connections_with_faculty,connections_among_juniors,have_freshman,all_freshman,gender_ratio,event_type,winner
001,1.0,34.0,2.0,intermediate,MM,8.0,8.0,65.0,12.0,4.0,28.0,1.0,0.0,0.0,gaming,0
002,0.0,6.0,2.0,beginner,ECM,0.0,6.0,41.0,16.0,2.0,26.0,0.0,0.0,0.0,hackathon,0
003,2.0,43.0,5.0,beginner,ME,11.0,0.0,37.0,1.0,0.0,1.0,1.0,1.0,0.2,sporting,0
004,,,3.0,intermediate,CSE,5.0,6.0,,20.0,5.0,13.0,0.0,0.0,0.67,hackathon,1
005,1.0,79.0,4.0,beginner,ME,0.0,0.0,83.0,85.0,6.0,13.0,0.0,0.0,0.25,gaming,1
006,3.0,47.0,2.0,beginner,ECE,8.0,0.0,85.0,11.0,0.0,12.0,1.0,1.0,0.5,dance,1
007,1.0,63.0,3.0,expert,ECM,7.0,6.0,79.0,10.0,2.0,13.0,1.0,0.0,0.67,gaming,0
008,3.0,59.0,1.0,beginner,CSE,8.0,5.0,28.0,6.0,8.0,18.0,1.0,0.0,1.0,sporting,0
009,0.0,42.0,2.0,intermediate,ECE,6.0,8.0,21.0,12.0,3.0,6.0,1.0,1.0,0.0,hackathon,0
010,7.0,87.0,2.0,beginner,ME,0.0,0.0,67.0,10.0,0.0,5.0,1.0,1.0,0.5,hackathon,0
011,1.0,46.0,5.0,beginner,CSE,8.0,0.0,68.0,,5.0,2.0,1.0,1.0,1.0,sporting,1
012,3.0,37.0,4.0,expert,ECE,7.0,6.0,55.0,3.0,8.0,17.0,0.0,0.0,0.0,hackathon,0
013,6.0,61.0,3.0,intermediate,CSE,8.0,6.0,39.0,11.0,0.0,18.0,1.0,0.0,1.0,hackathon,1
014,9.0,52.0,5.0,beginner,ECE,7.0,0.0,41.0,16.0,3.0,28.0,0.0,0.0,0.4,gaming,0
015,0.0,2.0,4.0,intermediate,ECM,6.0,8.0,27.0,11.0,4.0,25.0,1.0,1.0,0.25,contest,0
016,2.0,77.0,3.0,beginner,CSE,0.0,5.0,43.0,13.0,6.0,17.0,0.0,0.0,0.33,contest,0
017,20.0,35.0,1.0,beginner,CSE,5.0,0.0,25.0,4.0,3.0,25.0,1.0,0.0,0.0,contest,0
018,8.0,60.0,1.0,beginner,CSE,8.0,,21.0,17.0,8.0,25.0,0.0,0.0,0.0,singing,0
019,1.0,23.0,4.0,intermediate,CE,,0.0,36.0,0.0,7.0,15.0,1.0,0.0,0.25,gaming,0
020,0.0,84.0,3.0,intermediate,PIE,6.0,0.0,60.0,20.0,2.0,9.0,0.0,0.0,0.0,debate,0
021,0.0,39.0,5.0,intermediate,ECE,0.0,5.0,62.0,19.0,6.0,5.0,1.0,1.0,0.6,hackathon,1
022,2.0,51.0,1.0,intermediate,CSE,11.0,6.0,7.0,13.0,6.0,5.0,1.0,0.0,0.0,singing,0
023,1.0,17.0,2.0,beginner,CSE,7.0,0.0,40.0,5.0,3.0,29.0,1.0,1.0,1.0,contest,0
024,3.0,20.0,2.0,beginner,CSE,0.0,0.0,74.0,12.0,0.0,20.0,0.0,0.0,0.5,hackathon,0
025,1.0,63.0,3.0,beginner,EE,0.0,0.0,37.0,7.0,3.0,30.0,1.0,0.0,0.67,hackathon,0
026,2.0,83.0,3.0,beginner,ME,6.0,0.0,35.0,9.0,1.0,25.0,1.0,1.0,0.0,gaming,0
027,1.0,37.0,2.0,expert,ECE,8.0,5.0,30.0,65.0,6.0,18.0,0.0,0.0,0.0,contest,0
028,4.0,47.0,4.0,beginner,CSE,0.0,8.0,19.0,10.0,6.0,13.0,0.0,0.0,0.0,contest,0
029,0.0,27.0,1.0,expert,ECE,7.0,0.0,35.0,19.0,4.0,11.0,1.0,0.0,0.0,hackathon,0
030,9.0,74.0,2.0,expert,EE,6.0,6.0,83.0,16.0,7.0,20.0,1.0,1.0,0.5,gaming,1
031,9.0,60.0,3.0,beginner,CSE,5.0,7.0,70.0,90.0,2.0,25.0,0.0,0.0,0.0,gaming,0
032,1.0,54.0,,beginner,CSE,0.0,5.0,79.0,0.0,6.0,,1.0,0.0,0.5,singing,0
033,0.0,42.0,3.0,beginner,CE,0.0,6.0,56.0,9.0,1.0,8.0,1.0,1.0,0.33,contest,1
034,1.0,25.0,5.0,beginner,ECE,0.0,7.0,75.0,11.0,4.0,,1.0,1.0,0.0,debate,1
035,0.0,49.0,3.0,beginner,ECE,7.0,0.0,77.0,20.0,10.0,19.0,0.0,0.0,0.0,sporting,0
036,2.0,77.0,1.0,expert,ECM,7.0,0.0,18.0,4.0,3.0,14.0,1.0,0.0,0.0,hackathon,0
037,1.0,39.0,5.0,intermediate,ECM,5.0,8.0,,4.0,6.0,12.0,0.0,0.0,0.4,hackathon,1
038,2.0,34.0,4.0,beginner,CSE,5.0,5.0,56.0,12.0,0.0,9.0,0.0,0.0,1.0,fun,0
039,0.0,43.0,4.0,expert,ME,6.0,7.0,70.0,7.0,1.0,19.0,0.0,0.0,0.25,hackathon,0
040,1.0,31.0,3.0,intermediate,ECE,0.0,0.0,57.0,51.0,10.0,28.0,0.0,0.0,0.67,hackathon,1
041,1.0,68.0,1.0,beginner,CSE,5.0,6.0,88.0,10.0,1.0,10.0,1.0,1.0,1.0,hackathon,1
042,1.0,77.0,5.0,intermediate,PIE,7.0,7.0,29.0,12.0,0.0,21.0,1.0,0.0,0.6,sporting,0
043,,,4.0,intermediate,EE,7.0,0.0,56.0,,9.0,12.0,1.0,1.0,0.75,gaming,1
044,3.0,63.0,2.0,beginner,ECE,0.0,5.0,74.0,8.0,8.0,29.0,1.0,0.0,1.0,other,0
045,2.0,86.0,4.0,expert,CSE,7.0,6.0,40.0,7.0,6.0,,0.0,0.0,0.75,contest,0
046,0.0,17.0,4.0,expert,PIE,0.0,5.0,49.0,6.0,10.0,3.0,1.0,0.0,0.75,contest,0
047,1.0,49.0,5.0,expert,EE,5.0,0.0,38.0,9.0,6.0,13.0,1.0,1.0,0.2,gaming,0
048,0.0,29.0,3.0,beginner,ME,5.0,5.0,75.0,16.0,2.0,28.0,1.0,0.0,0.33,hackathon,0
049,1.0,62.0,4.0,intermediate,CSE,7.0,7.0,24.0,14.0,3.0,,1.0,0.0,0.0,contest,0
050,0.0,66.0,2.0,expert,EE,8.0,6.0,41.0,7.0,10.0,29.0,0.0,0.0,0.5,hackathon,0
051,1.0,50.0,2.0,expert,EE,0.0,8.0,19.0,20.0,10.0,5.0,0.0,0.0,1.0,gaming,0
052,0.0,34.0,2.0,beginner,PIE,0.0,0.0,76.0,12.0,6.0,4.0,1.0,1.0,0.0,gaming,0
053,8.0,44.0,2.0,beginner,EE,0.0,0.0,70.0,18.0,1.0,25.0,1.0,1.0,0.0,hackathon,0
054,1.0,77.0,2.0,expert,ECM,8.0,0.0,63.0,,7.0,17.0,1.0,1.0,1.0,contest,0
055,0.0,54.0,3.0,beginner,CE,0.0,0.0,60.0,,1.0,1.0,1.0,1.0,1.0,sporting,0
056,2.0,28.0,4.0,intermediate,CSE,6.0,7.0,98.0,19.0,5.0,14.0,1.0,0.0,0.25,other,1
057,2.0,42.0,4.0,beginner,ECE,7.0,8.0,61.0,14.0,9.0,1.0,1.0,0.0,0.75,singing,0
058,1.0,49.0,4.0,beginner,PIE,0.0,8.0,42.0,20.0,7.0,5.0,1.0,1.0,0.0,sporting,1
059,3.0,49.0,3.0,beginner,ECM,6.0,5.0,29.0,19.0,9.0,2.0,0.0,0.0,1.0,contest,0
060,1.0,112.0,1.0,beginner,ECE,8.0,5.0,40.0,18.0,9.0,20.0,1.0,1.0,1.0,gaming,1
061,0.0,23.0,3.0,expert,CE,6.0,5.0,44.0,2.0,3.0,8.0,1.0,0.0,1.0,hackathon,0
062,0.0,22.0,2.0,beginner,ECE,8.0,6.0,72.0,14.0,10.0,29.0,0.0,0.0,0.0,gaming,0
063,1.0,55.0,,intermediate,EE,6.0,6.0,81.0,0.0,10.0,19.0,1.0,0.0,1.0,contest,1
